K,alphap,meanE,varE,skewE,kurtE,class
-0.29,0.994837674,24.59206959,17.37223874,-0.700790928,1.862526081,one
-0.29,1.012290966,23.54333298,14.40420381,-0.775939374,2.004829939,one
-0.29,1.029744259,22.90237739,11.16685705,-0.858219844,2.315225017,one
-0.29,1.047197551,21.98560996,9.293305703,-1.045234985,2.616169796,one
-0.29,1.064650844,21.02404951,7.80397719,-1.065864896,2.696267595,one
-0.29,1.082104136,20.23093487,5.983907165,-1.132827234,3.100180409,one
-0.29,1.099557429,19.41798431,5.009200704,-1.334636109,3.625464928,one
-0.29,1.117010721,18.48404245,4.07145246,-1.490413479,4.103281681,one
-0.29,1.134464014,17.67425612,3.594689718,-1.408417128,4.323265278,one
-0.29,1.151917306,16.67064366,2.831625184,-1.314475284,5.292765692,one
-0.29,1.169370599,15.74635129,2.516264362,-0.968145759,6.469770872,one
-0.29,1.186823891,14.79768813,2.41206633,-0.388798963,8.221019238,one
-0.29,1.204277184,13.63496963,2.151389723,0.708443181,14.16039987,one
-0.29,1.221730476,12.46962925,2.138426511,2.039335747,22.22606675,one
-0.29,1.239183769,11.14406902,2.311254105,3.442704753,31.46680953,one
-0.29,1.256637061,9.543509986,2.722291629,4.735770138,39.71285806,one
-0.29,1.274090354,7.923072803,3.519812224,5.084106067,40.31005192,one
-0.29,1.291543646,6.401315025,4.370219994,5.547885467,41.47471123,one
-0.29,1.308996939,5.917461807,5.016262509,5.280545918,37.52383099,one
-0.29,1.326450232,6.723884992,4.680490488,5.256981293,36.46401899,one
-0.29,1.343903524,8.346353383,3.768059997,5.288288947,37.43915038,one
-0.29,1.361356817,10.13882288,2.791944552,5.561233812,41.32775843,one
-0.29,1.378810109,12.03744693,1.917372694,6.011867302,48.44941902,one
-0.29,1.396263402,13.4741838,1.235824822,7.997075784,72.14555895,one
-0.29,1.413716694,14.09598468,1.124640629,8.045668895,72.88217729,one
-0.29,1.431169987,14.62947074,1.050022222,8.019244441,72.28297127,one
-0.29,1.448623279,15.13998445,0.988614953,7.956603873,70.99779277,one
-0.29,1.466076572,15.65353601,0.931541289,7.872647256,69.29575147,one
-0.29,1.483529864,16.18149342,0.875063449,7.770427272,67.26822443,one
-0.29,1.500983157,16.72832548,0.817795604,7.644636022,64.90578437,one
-0.29,1.518436449,17.29479483,0.759699514,7.480599624,62.12127256,one
-0.29,1.535889742,17.88056994,0.701344011,7.252399043,58.78075498,one
-0.29,1.553343034,18.48462772,0.643753512,6.918858854,54.74469064,one
-0.29,1.570796327,19.10629998,0.588117196,6.418584737,49.96015575,one
-0.28,-1.570796327,19.05549063,0.593129085,6.419504311,49.65673189,one
